id,ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10,geometry
0,10282,8600000US10282,10282,177847,55133,"POLYGON ((-74.016864 40.719611, -74.013046 40.719086, -74.012292 40.719039, -74.012731 40.717114, -74.01338199999999 40.714408, -74.0137 40.713668, -74.016198 40.71476699999999, -74.017211 40.713544, -74.016864 40.719611))"
1,10040,8600000US10040,10040,988493,0,"POLYGON ((-73.93519499999999 40.860266, -73.933803 40.862925, -73.93274 40.862941, -73.93302199999999 40.859819, -73.931313 40.859328, -73.92936399999999 40.864284, -73.925005 40.866336, -73.924385 40.865365, -73.92662 40.864525, -73.92474199999999 40.861594, -73.927122 40.85811, -73.92469199999999 40.856642, -73.928151 40.851863, -73.93901199999999 40.856109, -73.93519499999999 40.860266))"
2,11207,8600000US11207,11207,6920385,0,"POLYGON ((-73.90885299999999 40.693405, -73.90359699999999 40.690409, -73.902073 40.691999, -73.900425 40.688184, -73.901162 40.687878, -73.896518 40.682397, -73.8942 40.685309, -73.892523 40.683424, -73.889607 40.684214, -73.88819099999999 40.682556, -73.886505 40.683349, -73.88278199999999 40.668026, -73.878834 40.661535, -73.87610699999999 40.657125, -73.879733 40.655563, -73.87619699999999 40.650697, -73.87843599999999 40.649327, -73.88221299999999 40.654498, -73.889994 40.651138, -73.89136599999999 40.652365, -73.893388 40.650935, -73.895566 40.653077, -73.89725899999999 40.653604, -73.89761 40.653454, -73.898003 40.653801, -73.899041 40.657372, -73.89880699999999 40.657407, -73.900661 40.660587, -73.90041699999999 40.663806, -73.903475 40.675507, -73.90468799999999 40.677943, -73.90346599999999 40.678897, -73.90404599999999 40.67922, -73.91604599999999 40.686072, -73.90885299999999 40.693405))"
3,10456,8600000US10456,10456,2635671,0,"POLYGON ((-73.91902899999999 40.83309, -73.91477999999999 40.837517, -73.91313699999999 40.839814, -73.91139 40.837866, -73.909882 40.838709, -73.909458 40.837057, -73.90797999999999 40.837178, -73.905607 40.839844, -73.905979 40.838505, -73.900567 40.836592, -73.901212 40.835498, -73.89696599999999 40.834343, -73.89636899999999 40.83351, -73.898842 40.831751, -73.89979699999999 40.827685, -73.90054099999999 40.825944, -73.901988 40.82244, -73.90266799999999 40.820803, -73.90299 40.820027, -73.90531299999999 40.817925, -73.910348 40.819947, -73.91189 40.820256, -73.910118 40.820618, -73.909497 40.822438, -73.909851 40.822553, -73.908709 40.824067, -73.91131 40.824849, -73.911794 40.826428, -73.911694 40.827759, -73.91531599999999 40.826546, -73.92020099999999 40.8281, -73.918944 40.830335, -73.920461 40.830915, -73.91902899999999 40.83309))"
4,11417,8600000US11417,11417,2898418,0,"POLYGON ((-73.862346 40.679165, -73.858198 40.679431, -73.85392399999999 40.679686, -73.85099099999999 40.680568, -73.85131799999999 40.68124, -73.850478 40.681484, -73.85014799999999 40.680808, -73.848444 40.681291, -73.84863399999999 40.681684, -73.84786799999999 40.681487, -73.841196 40.68335099999999, -73.838078 40.684239, -73.835111 40.685088, -73.834265 40.685327, -73.831746 40.679537, -73.83094 40.67812, -73.832078 40.675261, -73.83589599999999 40.675754, -73.83698099999999 40.674678, -73.83331199999999 40.666759, -73.837242 40.66736, -73.857113 40.673575, -73.861318 40.675021, -73.862346 40.679165))"
5,11104,8600000US11104,11104,1005110,0,"POLYGON ((-73.927635 40.736597, -73.925467 40.747432, -73.92079799999999 40.746891, -73.92027299999999 40.749508, -73.909847 40.751637, -73.90990000000001 40.749087, -73.91015899999999 40.74850199999999, -73.914693 40.748905, -73.915566 40.744579, -73.91494899999999 40.742908, -73.916887 40.742787, -73.92304 40.740436, -73.92397199999999 40.735784, -73.925769 40.736278, -73.927635 40.736597))"
6,10024,8600000US10024,10024,2222641,0,"POLYGON ((-73.98814 40.781409, -73.972899 40.803383, -73.964167 40.81579, -73.96206699999999 40.818099, -73.96068699999999 40.817511, -73.961276 40.816607, -73.961398 40.815146, -73.96401899999999 40.811331, -73.96442399999999 40.810755, -73.9659 40.808806, -73.96651799999999 40.808226, -73.97027299999999 40.80236, -73.973736 40.798608, -73.974256 40.796588, -73.976795 40.794315, -73.977092 40.792724, -73.96701 40.788476, -73.97406699999999 40.778805, -73.97756199999999 40.780909, -73.981064 40.781751, -73.98212599999999 40.783027, -73.98445199999999 40.783192, -73.98567899999999 40.780313, -73.98654399999999 40.780658, -73.987308 40.78104099999999, -73.98814 40.781409))"
7,11212,8600000US11212,11212,3985437,0,"POLYGON ((-73.931607 40.663557, -73.930685 40.66362, -73.928544 40.66457399999999, -73.92637999999999 40.665515, -73.92438899999999 40.666385, -73.922753 40.667098, -73.91838199999999 40.669002, -73.92004399999999 40.669137, -73.914873 40.670533, -73.903475 40.675507, -73.90041699999999 40.663806, -73.900661 40.660587, -73.89880699999999 40.657407, -73.899041 40.657372, -73.903173 40.655301, -73.907856 40.654589, -73.90972599999999 40.65431299999999, -73.917576 40.654314, -73.92100499999999 40.654918, -73.92177599999999 40.654424, -73.927201 40.658537, -73.927255 40.659338, -73.92819299999999 40.660177, -73.931556 40.662756, -73.931607 40.663557))"
8,11694,8600000US11694,11694,3460879,1189,"POLYGON ((-73.86734299999999 40.567987, -73.86446599999999 40.569142, -73.86653 40.572701, -73.863201 40.574127, -73.862883 40.57606, -73.853055 40.581255, -73.850444 40.58213, -73.845181 40.581581, -73.839354 40.581857, -73.83866499999999 40.582711, -73.835841 40.582879, -73.828525 40.584854, -73.828048 40.58608, -73.823262 40.587468, -73.82146 40.58677, -73.819322 40.587964, -73.819312 40.589307, -73.81913299999999 40.588048, -73.819368 40.58583, -73.82017399999999 40.585515, -73.8177 40.583203, -73.815702 40.583429, -73.815495604297 40.5822888418555, -73.834408 40.577201, -73.83704031949441 40.57628340718369, -73.86655933422949 40.5659934572276, -73.86599699999999 40.568228, -73.86734299999999 40.567987))"
9,11415,8600000US11415,11415,1465823,0,"POLYGON ((-73.84301599999999 40.709176, -73.837037 40.711312, -73.83098199999999 40.71431, -73.827125 40.712712, -73.82428299999999 40.713826, -73.823955 40.712853, -73.821167 40.710397, -73.818313 40.706164, -73.82007899999999 40.705031, -73.82201999999999 40.705212, -73.82154 40.703729, -73.831521 40.70139, -73.832335 40.700765, -73.833021 40.70257, -73.834982 40.70709799999999, -73.836185 40.707573, -73.83418399999999 40.708672, -73.834051 40.710028, -73.83611399999999 40.711469, -73.836736 40.710791, -73.84144499999999 40.708957, -73.84301599999999 40.709176))"
10,11209,8600000US11209,11209,5496342,0,"POLYGON ((-74.042412 40.624847, -74.0395755857775 40.6333555467857, -74.03876862940801 40.6357762179167, -74.038336 40.637074, -74.03679799999999 40.639381, -74.026039 40.635741, -74.016048 40.631033, -74.019705 40.62218499999999, -74.025729 40.616049, -74.02754999999999 40.612925, -74.026674 40.612995, -74.025266 40.615524, -74.022789 40.614596, -74.02477499999999 40.609676, -74.026298 40.608039, -74.024187 40.606803, -74.0248 40.606081, -74.023602 40.605613, -74.021502 40.607828, -74.018388 40.606907, -74.01701899999999 40.607655, -74.01549899999999 40.606842, -74.0195713040511 40.6027150966466, -74.021331 40.603272, -74.0267751399744 40.6042371612374, -74.027547 40.604374, -74.031384 40.605201, -74.0363843681629 40.6099131431883, -74.03958999999999 40.612934, -74.03993505959239 40.6143906601431, -74.042412 40.624847))"
11,11360,8600000US11360,11360,3609051,0,"POLYGON ((-73.79494 40.786275, -73.790705 40.788225, -73.79265699999999 40.790521, -73.78317899999999 40.790866, -73.782388 40.791376, -73.781205 40.78958799999999, -73.77413890972539 40.7863202798795, -73.774334 40.786216, -73.7740787591547 40.7859694239389, -73.7675451454684 40.7796576099919, -73.76744099999999 40.779557, -73.7670348596146 40.77848043955719, -73.76554 40.774518, -73.7635021041273 40.7728644105616, -73.765452 40.77358, -73.769842 40.77261, -73.771581 40.774306, -73.773838 40.773846, -73.77348599999999 40.772306, -73.774475 40.772102, -73.77481399999999 40.773673, -73.778858 40.772799, -73.789309 40.769708, -73.791635 40.774239, -73.79035 40.774573, -73.793356 40.781704, -73.794116 40.786097, -73.79494 40.786275))"
12,10026,8600000US10026,10026,860743,0,"MULTIPOLYGON (((-73.958249 40.803107, -73.95818199999999 40.805597, -73.956806 40.80754599999999, -73.95350000000001 40.806981, -73.944667 40.80313, -73.946462 40.800665, -73.94922 40.79691, -73.958195 40.800553, -73.95964699999999 40.801156, -73.958249 40.803107)), ((-73.962008 40.805509, -73.96007399999999 40.804706, -73.960319 40.803992, -73.962475 40.804886, -73.962008 40.805509)))"
13,11373,8600000US11373,11373,3942312,0,"POLYGON ((-73.890698 40.742261, -73.890716 40.743128, -73.89139299999999 40.746648, -73.890501 40.746942, -73.86942499999999 40.749157, -73.869192 40.748763, -73.87001599999999 40.748472, -73.868679 40.746194, -73.86826499999999 40.746314, -73.86790999999999 40.744934, -73.86756299999999 40.740942, -73.86648 40.738211, -73.86493 40.736895, -73.86461799999999 40.734271, -73.86903699999999 40.732849, -73.86826099999999 40.732486, -73.87142899999999 40.729248, -73.87475499999999 40.730542, -73.88011899999999 40.72859, -73.88393099999999 40.728538, -73.88561199999999 40.728342, -73.88720499999999 40.727869, -73.887198 40.728184, -73.88806 40.730087, -73.888566 40.734592, -73.88936199999999 40.735838, -73.891369 40.736061, -73.888802 40.736531, -73.891746 40.742138, -73.890698 40.742261))"
